,Type,id,Name,Start Date,End Date,Host Name,Event URL,description,url
0,Event,1450027,"Miami-Dade County Public Schools  -  ""M-DCPS CONNECT CAFE""",2024-01-11T14:00:00.000-05:00,2025-06-13T14:00:00.000-04:00,Miami-Dade County Public Schools,https://app.brazenconnect.com/a/miami_dade_county_public_schools/s/XBbr5/next,"<p>M-DCPS CONNECT CAFE</p><p></p><p>Take your coffee break with our recruitment team via live chat to learn about our teaching positions!</p><p></p><p>Join us every 2nd & 4th Thursday of the month from 2-4pm until the end of the school year.</p><p></p><p>EVENT DATES:</p><p></p><p>January 11, 2024</p><p></p><p>January 25, 2024</p><p></p><p>February 8, 2024</p><p></p><p>February 22, 2024</p><p></p><p>March 14, 2024</p><p></p><p>March 28, 2024 - M-DCPS SPRING BREAK NO CONNECT CAFE</p><p></p><p>April 11, 2024</p><p></p><p>April 25, 2024</p><p></p><p>May 9, 2024</p><p></p><p>May 23, 2024</p><p></p><p>June 13, 2024</p><p></p><p>PLEASE REGISTER HERE:</p><p>https://app.brazenconnect.com/a/miami_dade_county_public_schools/s/XBbr5/next</p>",https://app.joinhandshake.com/stu/events/1450027
1,Event,1530212,International MBA Abroad - Class 2026,2024-04-09T09:00:00.000-04:00,2025-04-09T09:00:00.000-04:00,McKinsey & Company,https://jobs.mckinsey.com/events/Rsvp?folderId=87369&rid=ltltagn87369-324a&utm_medium=DSMN8&utm_source=LinkedIn&utm_user=14419238695088212,"<p>Are you a Latin American student with aspirations of pursuing an International MBA (Class of 2026)?</p><p>If so, we have an exciting opportunity for you! Join us by submitting this form to stay updated on all the latest McKinsey Latin America recruiting events. By doing so, you'll also receive a personalized link to apply for our Summer Associate/Associate role.</p><p></p><p>Please note this is not an event or application, this form helps us understand your unique background and interests, allowing us to tailor your recruiting experience specifically to you.</p><p></p><p>At McKinsey, we can't wait to get to know you better and show you what we're all about. Discover who we are, what we do, and how you can author your own journey at the firm.</p><p></p><p>It's important to note that while this survey collects academic and professional information, it is not an application for a role. Instead, it's an opportunity for us to get to know you before the respective recruiting cycle begins.</p><p></p><p>Remember, participation is completely voluntary, and we handle your responses in accordance with McKinsey's Data Protection and Privacy Policy.</p><p></p><p>Register today and take the first step towards an exciting future!</p><p></p><p>Register your interest today by submitting this form using your MBA e-mail address (if you have one already). By doing so, you'll be the first to know about our application process and upcoming events!</p>",https://app.joinhandshake.com/stu/events/1530212
2,Event,1559802,"USPS VIRTUAL JOB FAIR MAINE, NEW HAMPSHIRE & VERMONT",2024-07-17T12:00:00.000-04:00,2024-11-27T14:00:00.000-05:00,United States Postal Service,,"<p>United States Postal Service is hosting a virtual job fair EVERY Wednesday from 11:00am-1:00pm ET for all MAINE, NEW HAMPSHIRE &amp; VERMONT.  Part-time, full-time, Clerks, Carriers, Custodians, Technicians and more.</p>",https://app.joinhandshake.com/stu/events/1559802
3,Event,1553597,Pharmacist and Pharmacist Intern Virtual Event,2024-07-26T14:00:00.000-04:00,2025-01-24T14:00:00.000-05:00,Kroger Co.,https://app.brazenconnect.com/a/kroger/s/an3Yp/next,"<p style=""text-align:center;""><strong>Pharmacy Phridays!</strong></p><p style=""text-align:center;"">Pharmacists, Pharmacy students, Pharmacy grads:</p><p style=""text-align:center;"">We want to talk to you!</p><p style=""text-align:center;"">occurs</p><p style=""text-align:center;""><strong>Every Friday</strong></p><p style=""text-align:center;""><strong>2 pm - 4 pm ET</strong></p><p style=""text-align:center;""><strong>1 pm - 3 pm CT</strong></p><p style=""text-align:center;""><strong>12 pm - 2 pm MT</strong></p><p style=""text-align:center;""><strong>11 am - 1 pm PT</strong></p><p style=""text-align:center;"">Drop in anytime during these sessions and talk to one of our Kroger Health recruiters about current and future pharmacy opportunities.</p><p style=""text-align:center;"">Pharmacists seeking sponsorship are encouraged to join!</p><p> </p>",https://app.joinhandshake.com/stu/events/1553597
4,Event,1625501,Transportation Data Science Project (TDSP) - Research Opportunity,2024-10-04T17:00:00.000-04:00,2025-03-31T23:55:00.000-04:00,Columbia University Data Science Institute,https://nebigdatahub.org/nsdc/tdsp/,"<p>Welcome to the Transportation Data Science Project (TDSP)! The TDSP provides an opportunity to gain practical experience with data science by creating data-driven recommendations to make roads safer for all. Network with TDSP Mentors, receive a virtual certificate of completion, and expand your skillset in the fields of data science and research.</p><p>The TDSP is brought to you by the <a target=""_blank"" href=""https://nebigdatahub.org/about""><strong><u>Northeast Big Data Innovation Hub</u></strong><u> </u><strong><u>(NEBDHub)</u></strong></a>, <a target=""_blank"" href=""https://nebigdatahub.org/nsdc""><strong><u>National Student Data Corps (NSDC)</u></strong></a>, and <a target=""_blank"" href=""https://highways.dot.gov/""><strong><u>U.S. Department of Transportation Federal Highway Administration</u></strong></a>.</p><p>Participants will learn to assess for potential bias in the data, create pertinent data visualizations, and develop analytical models that can be deployed in the real world. Learners from around the world, from all educational backgrounds and skill levels, are invited to participate. This is an opportunity for you to learn data science techniques in a supportive environment.</p><p><strong>Register here! </strong><a target=""_blank"" href=""https://nebigdatahub.org/nsdc/tdsp/""><strong>https://nebigdatahub.org/nsdc/tdsp/</strong></a><strong> </strong></p>",https://app.joinhandshake.com/stu/events/1625501
5,Event,1642308,BioMarin @ ABRCMS - Annual Biomedical Research Conference for Minoritized Scientists,2024-11-13T15:00:00.000-05:00,2024-11-16T20:00:00.000-05:00,BioMarin Pharmaceutical Inc,https://jobs.jobvite.com/biomarin/job/oypFufwQ,"<p>Come meet BioMarin at ABRCMS Conference in Pittsburgh, PA.  </p><p> </p><p><strong>Booth # 510</strong></p><p> </p><p><strong>Site is for ABCRMS Conference Attendees only, November 13th-16th, 2024. </strong></p><p> </p><p>We look forward to discussing our 2025 Internship Opportunities in Research &amp; Technical Operations.</p><p> </p><p><strong>Benefits of a BioMarin Internship:</strong>  </p><ul>
<li>Apply skills and knowledge learned in the classroom to on-the-job experiences.</li>
<li>Comprehensive, value-added project(s).</li>
<li>Work in teams and with colleagues in a professional environment.</li>
<li>Develop skills specific to your major.</li>
<li>Opportunities for professional development by building relationships and learning about other parts of the business.</li>
<li>Paid company holidays, sick time, and housing/transportation assistance available for eligible students.  </li>
<li>Roles based in San Rafael, CA, Novato, CA and virtual.</li>
<li>Assistance with housing/transportation to help alleviate costs associated with the internship.<strong>*</strong>
</li>
</ul><p><strong> About BioMarin:</strong><br><br>We transform lives through genetic discovery.<br><br>In 1997, we were founded to make a big difference in small patient populations. For more than two decades, going our own way has led to countless breakthroughs, bettering the lives of those suffering from rare genetic disease. Now, we seek to make an even greater impact by applying the same science-driven, patient-forward approach that propelled our last 25 years of drug development to larger genetic disorders, as well as genetic subsets of more common conditions. <br><br>If you thrive on being part of a nimble, patient centric culture with an entrepreneurial spirit, please  consider applying. Successful employees at BioMarin go above and beyond to serve patients and their families, work collaboratively across matrix teams, actively participate in their community, and rely on sound business planning to pull through opportunities in their market. </p><p><br>An Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.</p>",https://app.joinhandshake.com/stu/events/1642308
6,Event,1630829,Army Career Invitational & ASVAB Skills Accelerator,2024-11-16T13:55:00.000-05:00,2025-01-27T14:40:00.000-05:00,Correlation One,https://www.correlation-one.com/army-career-invitational?utm_source=c1e&utm_medium=yw&utm_campaign=CBEM,"<p>The<strong> Army Career Invitational</strong> is a one-day event designed to help individuals explore career opportunities within the U.S. Army by participating in interactive ""missions"" that simulate real-life Army challenges. Participants will gain insights into various Army roles, receive personalized career recommendations, and learn how these roles can lead to successful civilian careers. Those who complete the missions will also be eligible for a share of a $15,000 prize pool and exclusive recruiting opportunities with the Army.</p><p><br> </p><p><strong>Application Deadline:</strong> November 13th, 2024</p><p><strong>Competition date:</strong> November 16th, 2024</p><p><strong>Where:</strong> Remote</p><p><strong>Cost to participate:</strong> Free</p><p><strong>Who:</strong> US citizens from all backgrounds</p><p><br> </p><p>The <strong>ASVAB Skills Accelerator</strong> is a 2-week program that prepares individuals for the ASVAB exam, helping them qualify for high-demand roles in the U.S. Army. It combines live sessions with self-paced learning, offering focused test preparation, personalized coaching, and community support. Participants gain skills and confidence for both military and civilian career paths, with ongoing guidance and career coaching throughout the enlistment process.</p><p>Program Details:</p><p><strong>Application Deadline:</strong> January 20th, 2025</p><p><strong>Program Dates:</strong> January 27th - February 8th, 2025</p><p><strong>Where:</strong> Online (Remote)</p><p><strong>Time Commitment: </strong>10-15 hours per week</p><p><strong>Cost to Participate:</strong> Free</p><p><strong>Who Can Participate:</strong> U.S. citizens or permanent residents from all backgrounds, aged 18 and above</p><p><br> </p>",https://app.joinhandshake.com/stu/events/1630829
7,Event,1580650,UMBC Connects: Johns Hopkins Applied Physics Laboratory,2024-11-20T11:00:00.000-05:00,2024-11-20T14:00:00.000-05:00,"University of Maryland, Baltimore County",,"<p>It’s time to get excited - The UMBC Career Center Employer Partner <a target=""_blank"" href=""https://www.jhuapl.edu/careers?gad_source=1&amp;gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5O6OrkPQO98TaXKtOg6BH_x70w4gonx_QB3i4KYir4EYPr8lz0iDpwaAgFLEALw_wcB"">Johns Hopkins Applied Physical Laboratory</a> is coming to UMBC for a special campus visit, and they have wonderful opportunities available!</p><p><strong>What is a Career Center Employer Partner? </strong>This is an employer that has made a strong commitment to hiring UMBC talent, and demonstrates this through specialized events and strategic hiring efforts. These employers are eager to meet with you, and they purposefully seek to further their legacies of hiring UMBC talent.</p><p><strong>What is UMBC Connects? </strong>On Wednesdays from 11am - 2pm throughout the semester, the UMBC Connects series offers you the opportunity to meet with recruiters and representatives from organizations that have partnered with the Career Center. Come introduce yourself and learn more about the visiting companies that are committed to connecting with UMBC talent. </p><p>The agenda will be posted when the event gets closer. Below is a snapshot of what the day may look like. Representatives know students have class schedules to plan around - drop in anytime!</p><p><strong>11:00am -12:00pm : Open Networking with Recruiters</strong></p><ul>
<li>Introduce yourself and get your company questions answered</li>
<li>Drop off/submit your resume</li>
</ul><p><strong>12:00pm - 1:00pm: Company Presentation/Panel</strong></p><ul>
<li>Learn about open opportunities and pathways</li>
<li>Get to know the company culture</li>
</ul><p><strong>1:00pm -2:00pm : Networking with Company Representatives</strong></p><ul>
<li>Ask any remaining hiring process, resume, open opportunity questions</li>
<li>Drop off/submit your resume</li>
</ul><p><a target=""_blank"" href=""https://www.jhuapl.edu/careers?gad_source=1&amp;gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5O6OrkPQO98TaXKtOg6BH_x70w4gonx_QB3i4KYir4EYPr8lz0iDpwaAgFLEALw_wcB""><strong>About Johns Hopkins Applied Physical Laboratory</strong></a></p><p>From space exploration and cybersecurity to air and missile defense, artificial intelligence, and more, our work is at the cutting edge of scientific innovation. We’re always looking for great people to join our team. Whether your expertise involves technology and research or business operations, we have a place for you at APL.</p><p><strong>Jobs Currently On Handshake</strong></p><p><a target=""_blank"" href=""https://app.joinhandshake.com/edu/jobs/9117657""><strong>#9117657 2025 PhD Graduate - Rotational Program - Discovery Program</strong></a></p><p><a target=""_blank"" href=""https://app.joinhandshake.com/edu/jobs/8226104""><strong>#8226104 2024 Graduate - Cyber Engineer - Capabilities Development</strong></a></p><p><a target=""_blank"" href=""https://app.joinhandshake.com/edu/jobs/8216589""><strong>#8216589 2024 Graduate – SW Engineer/Data Scientist/Ontologist – Threat Analytic Systems</strong></a></p><p><a target=""_blank"" href=""https://app.joinhandshake.com/edu/jobs/8549895""><strong>#8549895 2024 Graduate - Autonomous Systems Seeker and Sensor Engineer</strong></a></p><p>New jobs may be added to Handshake at any time. The jobs currently in Handshake may or may not be open/discussed during this visit, however they will give you an idea of some of the great opportunities offered.</p>",https://app.joinhandshake.com/stu/events/1580650
8,Event,1566859,"Yahoo Inside Track “What Recruiters are Really Looking For""",2024-12-04T19:00:00.000-05:00,2024-12-04T20:00:00.000-05:00,Yahoo,https://events.zoom.us/ev/AsWxOOGilndNn32r2JiivHO4cznacnagqLgybsxT6zYZK8h_eOzC~AjsqG891cQgTUtOm1qFVjzLTzZzbV--R7gVR_WpSPufpCo_jcrrdaB_0nA,"<p>Gain a competitive edge in your job search with our informative virtual event, ""The Inside Track: What Recruiters are Really Looking For."" This session will provide you with insider tips and strategies to enhance your resume, cover letter, interview skills, and project presentations.</p><p><strong>What We’ll Cover:</strong></p><p><strong>Resume and Cover Letter Tips:</strong> Learn the current best practices for crafting resumes and cover letters that catch the eye of recruiters. Discover how to effectively showcase your skills, experience, and achievements to stand out in a crowded job market.</p><p><strong>Interview Preparation:</strong> Get insights into common tech interview formats, including coding and behavioral interviews. We’ll share valuable tips to help you prepare effectively and boost your confidence. According to a Glassdoor survey, 76% of hiring managers believe candidates are not adequately prepared for interviews, underscoring the need for comprehensive preparation.</p><p><strong>Showcasing Projects:</strong> Understand how to present your projects and experiences in a way that highlights your skills and accomplishments. Learn techniques to effectively communicate your contributions and the impact of your work to potential employers.</p><p>Join us to get the inside track on what recruiters are really looking for and take your job application process to the next level. Don’t miss this opportunity to enhance your career prospects and succeed in your job search.</p>",https://app.joinhandshake.com/stu/events/1566859
9,Event,1569985,Inside Scoop: Careers in Natural & Mathematical Sciences,2024-11-18T12:00:00.000-05:00,2024-11-18T13:00:00.000-05:00,"University of Maryland, Baltimore County",,"<p>Join our virtual panel of speakers as they discuss Careers in Natural &amp; Mathematical Sciences on Monday, November 18th from 12-1pm.</p><p> </p><p>The insightful &amp; informative panel will feature several professionals from our community. Each panelist will share their unique career journey, offer career and professional development advice as well as answer questions from the audience. This is the perfect opportunity to learn from individuals working in the field!</p><p> </p><p><u>Panel Speakers:</u></p><p><strong>Dr. Gaurab Hore</strong>, PhD in Statistics, UMBC class of 2023, Visiting Associate (Mathematical Statistician) at The Food and Drug Administration (FDA)</p><p><strong>Isai Ramirez Gonzalez</strong>, BS in Biological Sciences, UMBC class of 2021, Senior Bilingual Program Research Coordinator at The Johns Hopkins Bayview Medical Center Emergency Room</p><p><strong>Asmaa Hasan</strong>, BS in Chemical Engineering, Bioengineering and Biotechnology, UMBC class of 2022, Specialist in Clinical Biologics at AstraZeneca</p><p> </p><p><i>Please note: UMBC is committed to creating an accessible and inclusive environment for all faculty, staff, students, and visitors. If you would like to request accommodations (e.g., ASL interpreters, captioning, wheelchair access, etc.) for this event due to a disability, please notify us at least two weeks prior to the event. Requests received after that time cannot be guaranteed, but we will do our best to make arrangements for program access. Please contact the event host (</i><a href=""mailto:careers@umbc.edu""><i>careers@umbc.edu</i></a><i>) with your specific request and be sure to include the event title, date, and time.</i></p>",https://app.joinhandshake.com/stu/events/1569985
